# Master Index Workbench v2.0.0 (released 2026-07-12) — https://kr48vr.github.io/master-of-all-indices/
# Data license: CC BY-NC-SA 4.0 (compilation); individual values inherit source terms recorded in provenance
# A blank value is honest missing data (see the note column), never a zero.
city,measure_id,measure,area,subtheme,unit,direction,data_level,approx,value,year,source,note
Madrid,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.69,2023,Spain (ESP) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: WHO Adjusted/Eurostat/CTS/SDG"
Milan,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.57,2023,Italy (ITA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/CTS/SDG"
Rome,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.57,2023,Italy (ITA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/CTS/SDG"
Munich,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.91,2023,Germany (DEU) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: SDG/CTS/NP"
Frankfurt,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.91,2023,Germany (DEU) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: SDG/CTS/NP"
Hamburg,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.91,2023,Germany (DEU) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: SDG/CTS/NP"
Brussels,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.08,2021,Belgium (BEL) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: WHO Adjusted/UNSDC/Eurostat/MoI"
Dublin,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.65,2023,Ireland (IRL) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/NP/NSO/CTS/SDG"
Lisbon,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.72,2022,Portugal (PRT) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: MD Adjusted/Eurostat/SDG/GSH 2023 Revision/CTS"
Prague,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.77,2023,Czechia (CZE) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: Eurostat/UNSDC/GSH 2019 Revision/CTS/SDG"
Warsaw,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.8,2023,Poland (POL) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/Eurostat/CTS/SDG"
Istanbul,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,3.23,2023,Türkiye (TUR) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: CTS"
Montreal,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.98,2023,Canada (CAN) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NSO/OAS/CTS/SDG/GSH 2023 Revision"
Vancouver,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.98,2023,Canada (CAN) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NSO/OAS/CTS/SDG/GSH 2023 Revision"
Chicago,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,United States of America (USA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NP/UNSDC/CTS/GSH 2019 Revision"
Boston,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,United States of America (USA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NP/UNSDC/CTS/GSH 2019 Revision"
Los Angeles,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,United States of America (USA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NP/UNSDC/CTS/GSH 2019 Revision"
Seattle,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,United States of America (USA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NP/UNSDC/CTS/GSH 2019 Revision"
Washington DC,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,United States of America (USA) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NP/UNSDC/CTS/GSH 2019 Revision"
Sydney,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.85,2023,Australia (AUS) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: MD/Eurostat/GSH 2019 Revision/CTS"
Auckland,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.46,2022,New Zealand (NZL) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: WHO Adjusted/UNSDC/NP/CTS"
Osaka,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.23,2023,Japan (JPN) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: GSH 2019 Revision/SDG/CTS/MoI"
Tel Aviv,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.63,2022,Israel (ISR) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/NSO/SDG/CTS"
Hong Kong,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.38,2023,"China, Hong Kong Special Administrative Region (HKG)","UNODC dataUNODC CTS export (unodc_hom_faresmts.xlsx), Victims of intentional homicide, rate per 100,000; source flag GOV/SDG/CTS; raw 0.3762"
Taipei,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.32,2024,Taiwan (computed: NPA yearbook deaths / MOI population),"No UNODC row for Taiwan. Computed: 74 deaths from intentional homicide (NPA Police Statistics Yearbook 2024, Table 15 'Casualties of Crime Victims - by Classification', item 故意殺人 Murder and Nonnegligent Manslaughter, Dea"
Bangkok,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,4.79,2011,Thailand (THA),UNODC CTS export; latest rate year in file is 2011 (no later THA rows exist in this UNODC export) - notably stale; source flag UNSDC/WHO Adjusted/NP; raw 4.7923
Kuala Lumpur,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.73,2023,Malaysia (MYS),UNODC CTS export; source flag UNSDC/WHO/NP/SDG/CTS; raw 0.7345
Jakarta,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.3,2022,Indonesia (IDN),UNODC CTS export; source flag UNSDC/Interpol/CTS; raw 0.3038
Manila,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,4.35,2023,Philippines (PHL),UNODC CTS export; source flag NP/UNSDC/CTS/GSH 2019 Revision; raw 4.3476
Ho Chi Minh City,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.54,2011,Viet Nam (VNM),UNODC CTS export; latest rate year in file is 2011 (no later VNM rows) - notably stale; source flag WHO; raw 1.5350
Mumbai,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,2.82,2022,India (IND),UNODC CTS export; source flag MoI/NCRB India; raw 2.8153; shared with Delhi (country proxy)
Abu Dhabi,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.69,2022,United Arab Emirates (ARE),UNODC CTS export; source flag CTS; raw 0.6932; same UAE national value as Dubai already in dataset (0.69) - consistent
Shanghai,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.5,2020,China (CHN),UNODC CTS export; source flag UNSDC/NSO; raw 0.5019; shared with Beijing and Shenzhen (country proxy)
Beijing,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.5,2020,China (CHN),Same China national value as Shanghai/Shenzhen (country proxy)
Shenzhen,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.5,2020,China (CHN),Same China national value as Shanghai/Beijing (country proxy)
Delhi,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,2.82,2022,India (IND),Same India national value as Mumbai (country proxy)
Singapore,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,77.7,2026 Mid-Year,"Singapore, Singapore","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Tokyo,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,75.9,2026 Mid-Year,"Tokyo, Japan","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Copenhagen,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,73.7,2026 Mid-Year,"Copenhagen, Denmark","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Zurich,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,75.9,2026 Mid-Year,"Zurich, Switzerland","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Vienna,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,70.6,2026 Mid-Year,"Vienna, Austria","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Seoul,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,74.6,2026 Mid-Year,"Seoul, South Korea","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Melbourne,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,55.7,2026 Mid-Year,"Melbourne, Australia","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Amsterdam,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,70,2026 Mid-Year,"Amsterdam, Netherlands","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
London,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,44.7,2026 Mid-Year,"London, United Kingdom","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
New York,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,49.2,2026 Mid-Year,"New York, NY, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Paris,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,42.1,2026 Mid-Year,"Paris, France","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Toronto,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,56.3,2026 Mid-Year,"Toronto, Canada","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Berlin,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,55.4,2026 Mid-Year,"Berlin, Germany","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Barcelona,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,47.9,2026 Mid-Year,"Barcelona, Spain","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Dubai,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,83.8,2026 Mid-Year,"Dubai, United Arab Emirates","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
San Francisco,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,39.5,2026 Mid-Year,"San Francisco, CA, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Stockholm,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,53.8,2026 Mid-Year,"Stockholm, Sweden","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Oslo,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,65.7,2026 Mid-Year,"Oslo, Norway","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Helsinki,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,74.9,2026 Mid-Year,"Helsinki, Finland","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Madrid,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,71,2026 Mid-Year,"Madrid, Spain","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Milan,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,46,2026 Mid-Year,"Milan, Italy","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Rome,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,53.3,2026 Mid-Year,"Rome, Italy","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Munich,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,78.3,2026 Mid-Year,"Munich, Germany","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Frankfurt,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,54.5,2026 Mid-Year,"Frankfurt, Germany","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Hamburg,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,59.3,2026 Mid-Year,"Hamburg, Germany","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Brussels,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,44.1,2026 Mid-Year,"Brussels, Belgium","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Dublin,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,45.9,2026 Mid-Year,"Dublin, Ireland","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Lisbon,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,67.1,2026 Mid-Year,"Lisbon, Portugal","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Prague,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,75.3,2026 Mid-Year,"Prague, Czech Republic","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Warsaw,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,74.7,2026 Mid-Year,"Warsaw, Poland","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Istanbul,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,52,2026 Mid-Year,"Istanbul, Turkey","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Montreal,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,67,2026 Mid-Year,"Montreal, Canada","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Vancouver,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,57.2,2026 Mid-Year,"Vancouver, Canada","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Chicago,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,34.8,2026 Mid-Year,"Chicago, IL, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Boston,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,59.7,2026 Mid-Year,"Boston, MA, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Los Angeles,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,46.2,2026 Mid-Year,"Los Angeles, CA, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Seattle,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,44.7,2026 Mid-Year,"Seattle, WA, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Washington DC,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,40.3,2026 Mid-Year,"Washington, DC, United States","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Sydney,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,66.2,2026 Mid-Year,"Sydney, Australia","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Auckland,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,49.4,2026 Mid-Year,"Auckland, New Zealand","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Osaka,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,67,2026 Mid-Year,"Osaka, Japan","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Tel Aviv,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,73.8,2026 Mid-Year,"Tel Aviv-Yafo, Israel","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Hong Kong,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,78.2,2026 Mid-Year,"Hong Kong, Hong Kong (China)","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Taipei,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,83.4,2026 Mid-Year,"Taipei, Taiwan","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Bangkok,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,61.6,2026 Mid-Year,"Bangkok, Thailand","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Kuala Lumpur,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,40.9,2026 Mid-Year,"Kuala Lumpur, Malaysia","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Jakarta,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,47.3,2026 Mid-Year,"Jakarta, Indonesia","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Manila,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,35.4,2026 Mid-Year,"Manila, Philippines","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Ho Chi Minh City,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,50.2,2026 Mid-Year,"Ho Chi Minh City, Vietnam","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Mumbai,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,56.1,2026 Mid-Year,"Mumbai, India","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Abu Dhabi,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,88.6,2026 Mid-Year,"Abu Dhabi, United Arab Emirates","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Shanghai,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,73.5,2026 Mid-Year,"Shanghai, China","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Beijing,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,74.4,2026 Mid-Year,"Beijing, China","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Shenzhen,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,75.5,2026 Mid-Year,"Shenzhen, China","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Delhi,LIV-02,Perceived safety,Liveable,Safety & Stability,index 0-100,higher,City,crowd,41,2026 Mid-Year,"Delhi, India","Safety Index column, Numbeo Crime rankings 2026 Mid-Year (fetched 2026-07-17)"
Singapore,LIV-03,Political stability,Liveable,Safety & Stability,index,higher,Country proxy,perception,86.94,2024,"WGI 2025 — Singapore (score 86.94, estimate 1.232)","COUNTRY proxy: national Governance score 0-100 (2025 release, absolute anchored scale), applied to the city."
Tokyo,LIV-03,Political stability,Liveable,Safety & Stability,index,higher,Country proxy,perception,85.27,2024,"WGI 2025 — Japan (score 85.27, estimate 1.134)","COUNTRY proxy: national Governance score 0-100 (2025 release, absolute anchored scale), applied to the city."
Copenhagen,LIV-03,Political stability,Liveable,Safety & Stability,index,higher,Country proxy,perception,79.03,2024,"WGI 2025 — Denmark (score 79.03, estimate 0.769)","COUNTRY proxy: national Governance score 0-100 (2025 release, absolute anchored scale), applied to the city."
Zurich,LIV-03,Political stability,Liveable,Safety & Stability,index,higher,Country proxy,perception,82.65,2024,"WGI 2025 — Switzerland (score 82.65, estimate 0.981)","COUNTRY proxy: national Governance score 0-100 (2025 release, absolute anchored scale), applied to the city."
